UTC(1),UTC(2),UTC(3),UTC(4),Pack_count(1),Pack_count(2),q0(1),q0(2),q0(3),q0(4),q1(1),q1(2),q1(3),q1(4),q2(1),q2(2),q2(3),q2(4),q3(1),q3(2),q3(3),q3(4),RollRate(1),RollRate(2),PitchRate(1),PitchRate(2),YawRate(1),YawRate(2),FreeAccX(1),FreeAccX(2),FreeAccY(1),FreeAccY(2),FreeAccZ(1),FreeAccZ(2),Lat(1),Lat(2),Lat(3),Lat(4),Long(1),Long(2),Long(3),Long(4),Height(1),Height(2),Height(3),Height(4),VelX(1),VelX(2),VelY(1),VelY(2),VelZ(1),VelZ(2),LoRaRSSI,LoRaSNR,
13,33,25,23,1,219,63,127,189,34,184,30,164,0,57,187,69,32,189,56,252,204,17,137,29,234,152,171,23,31,156,129,153,59,65,198,116,46,66,242,25,3,66,145,230,132,32,53,27,221,13,60,-68,5.50,
13,33,25,54,1,220,63,127,188,223,184,84,40,0,57,187,185,128,189,57,87,122,18,70,29,194,152,99,22,26,141,19,25,235,65,198,116,46,66,242,25,3,66,145,240,234,32,182,27,2,24,197,-67,6.00,
13,33,25,85,1,221,63,127,188,253,184,140,70,0,57,173,112,112,189,57,48,64,15,247,31,17,156,28,18,44,153,149,22,248,65,198,116,46,66,242,25,3,66,145,249,122,32,235,27,85,30,22,-68,5.50,
13,33,26,17,1,222,63,127,188,172,184,150,42,0,57,168,65,192,189,57,159,220,21,5,28,18,9,135,152,113,22,146,29,13,65,198,116,46,66,242,25,4,66,146,1,182,33,70,28,67,31,217,-68,5.50,
13,33,26,48,1,223,63,127,188,101,184,101,12,0,57,152,60,32,189,58,0,59,22,175,28,20,16,127,138,101,148,45,26,194,65,198,116,46,66,242,25,4,66,145,246,176,33,163,28,56,24,160,-68,5.50,
13,33,26,79,1,224,63,127,187,200,184,85,168,0,57,165,60,176,189,58,217,241,22,135,22,163,25,194,23,40,137,223,32,5,65,198,116,46,66,242,25,4,66,145,250,119,33,90,28,20,27,165,-68,5.50,
13,33,27,10,1,225,63,127,187,177,184,144,244,0,57,181,245,176,189,58,248,219,15,16,31,14,156,48,28,82,156,2,32,31,65,198,116,46,66,242,25,4,66,146,2,223,33,173,28,65,33,63,-68,5.25,
13,33,27,41,1,226,63,127,187,135,184,97,140,0,57,172,173,128,189,59,49,126,21,67,24,224,25,133,150,188,25,201,35,36,65,198,116,46,66,242,25,4,66,146,5,135,33,232,28,179,32,215,-68,5.75,
13,33,27,72,1,227,63,127,187,21,184,132,80,0,57,169,120,224,189,59,209,66,15,74,29,240,152,133,28,14,23,54,19,242,65,198,116,46,66,242,25,4,66,145,245,220,34,224,28,58,158,39,-67,5.25,
13,33,28,3,1,228,63,127,186,195,184,159,86,0,57,184,171,64,189,60,58,34,17,98,27,28,21,219,19,97,33,220,31,182,65,198,116,46,66,242,25,4,66,145,250,99,34,223,27,250,153,158,-68,5.50,
13,33,28,34,1,229,63,127,186,143,184,72,140,0,57,189,125,64,189,60,131,157,21,0,28,230,145,83,148,180,157,162,29,17,65,198,116,46,66,242,25,4,66,145,248,134,34,235,26,247,154,39,-67,5.50,
13,33,28,65,1,230,63,127,186,78,184,30,56,0,57,199,52,0,189,60,221,29,20,126,29,147,152,13,26,38,157,165,25,35,65,198,116,47,66,242,25,4,66,145,247,241,35,39,25,127,155,21,-68,5.50,
13,33,28,96,1,231,63,127,186,11,184,78,200,0,57,212,35,32,189,61,51,93,21,118,28,254,6,246,143,248,132,235,31,233,65,198,116,47,66,242,25,4,66,145,233,216,35,147,25,214,160,222,-68,5.75,
