UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
20:53:35:35,0,-0.94735   0.0032665  -0.0010358     0.32017,-0.041382   -0.016953   0.0040741,-0.392616  -0.00740089     -37.3466,0.07489    -0.79541     0.47046,24.80716      121.0242      45.56916,0.0201569  -0.00855255      45.5692,-42,5.5,
20:53:35:66,0,-0.94687    0.003646  -0.0023541     0.32159,-0.056824    0.039612   -0.013428,-0.482364     0.121071     -37.5193,0.084778     0.64941    -0.25488,24.80716      121.0242      45.57294,0.0568848    0.0533142      45.5729,-42,6.25,
20:53:35:98,0,-0.94434    0.007622   -0.015623     0.32852,-0.10223     0.15332   -0.069702,-1.41352      1.40386     -38.3812,0.40552      1.3125       1.042,24.80716      121.0242      45.59388,0.153687     0.139404      45.5939,-45,6,
20:53:36:28,0,-0.94309    0.010288   -0.020957     0.33171,0.11749   -0.047119    0.031677,-1.9098      1.87409     -38.7876,0.20557   -0.017059    0.025162,24.80716      121.0242      45.60759,-0.0337524     0.117676      45.6076,-45,6.75,
20:53:36:60,0,-0.9441     0.01138   -0.017871     0.32898,-0.045197   -0.044189    0.016357,-1.90585       1.5046     -38.4476,0.55518    -0.63477      1.1533,24.80716      121.0242      45.61229,-0.0369873     0.111267      45.6123,-44,6.25,
20:53:36:91,0,-0.94441    0.010962   -0.017049     0.32815,-0.019394    0.041138  0.00089121,-1.82826      1.43307     -38.3438,-0.63818    -0.64307    -0.12341,24.80716      121.0242      45.61199,0.0445251     0.134521       45.612,-45,6.5,
20:53:37:22,0,-0.94552   0.0070401  -0.0080152     0.32538,0.10925    -0.10443    0.009613,-1.06176     0.605959     -37.9845,-1.709     -1.1533    0.024979,24.80716      121.0242      45.61815,-0.115906     0.116516      45.6181,-46,6.5,
20:53:37:53,0,-0.94636   0.0046758   0.0036585     0.32305,-0.033112   -0.056061   0.0093079,-0.371657    -0.569848     -37.6936,0.88379    -0.41357    -0.13806,24.80716      121.0242      45.61184,-0.0246429    0.0947266      45.6118,-43,6.5,
20:53:37:84,0,-0.94625   0.0061131  -0.0057854     0.32333,-0.037476    0.065735   -0.004467,-0.87727     0.400831     -37.7333,-0.60791     -0.3186     0.57373,24.80716      121.0242      45.63343,0.095459   -0.0197144      45.6334,-42,5.75,
20:53:38:15,0,-0.94629    0.009763   -0.012831     0.32291,0.055298    0.016739    0.024597,-1.53387      1.03012     -37.6967,-1.2207    -0.38062      1.2881,24.80716      121.0242      45.61224,-0.010704    0.0609131      45.6122,-42,5.75,
20:53:38:46,0,-0.94683   0.0059339   -0.013869     0.32137,-0.040894    0.032745    0.036377,-1.15493      1.28632     -37.5094,0.38818      1.3545     0.06842,24.80716      121.0242      45.62469,0.0715942     0.146484      45.6247,-43,6,
20:53:38:77,0,-0.94745    0.013225   -0.030895     0.31815,-0.091248     0.16406    0.039093,-2.56621      2.87331      -37.188,-0.63623     0.79834    -0.50439,24.80716      121.0242      45.63441,0.124084     0.214844      45.6344,-46,6.75,
20:53:39:08,0,-0.94843    0.016939   -0.040783     0.31391,-0.015808   -0.023239    0.022552,-3.31722      3.82587     -36.7378,-0.21387    -0.44727     0.99854,24.80717      121.0242      45.63865,-0.0150299     0.280762      45.6387,-45,6.5,
20:53:39:39,0,-0.95008   0.0097116   -0.028075      0.3106,0.024673    -0.17725   0.0056801,-2.05928      2.71187     -36.2555,0.010796    -0.29956     0.72607,24.80717      121.0242      45.62511,-0.157959     0.399414      45.6251,-42,6.25,
20:53:39:71,0,-0.95129   0.0055715   -0.013032     0.30796,0.18481    0.052643  -0.0015917,-1.06755      1.22409     -35.8877,-0.074402    -0.76611      1.0195,24.80717      121.0242      45.62568,-0.0153122     0.267334      45.6257,-46,6.75,
20:53:40:01,0,-0.95179    0.009477   -0.019838     0.30596,0.0034065    0.042297    0.012993,-1.73032      1.83177     -35.6685,0.46021    -0.34937     0.12018,24.80717      121.0242      45.64859,-0.00120068     0.213501      45.6486,-51,6.5,
