UTC	Pack_count	q0	q1	q2	q3	RollRate	PitchRate	YawRate	Roll	Pitch	Yaw	FreeAccX	FreeAccY	FreeAccZ	Lat	Long	Height	VelX	VelY	VelZ	LoRaRSSI	LoRaSNR
21:04:45:49	0	-0.99664	0.0034777	0.0010572	0.081774	0.096436	-0.026917	0.062286	-0.38727	-0.15333	-9.3806	1.8672	0.98975	-0.56738	24.80716	121.0242	59.67811	-0.0129318	0.00354576	59.6781	-55	5.5
21:04:45:80	0	-0.99664	0.0030334	0.0014762	0.081894	-0.040863	-0.016434	-0.0087051	-0.33259	-0.19706	-9.3944	0.17749	1.4795	-0.81152	24.80716	121.0242	59.70066	0.00150967	0.00762558	59.7007	-52	6.75
21:04:46:11	0	-0.99661	0.00076832	0.0053448	0.082084	0.072754	0.0084076	-0.0079041	-0.037473	-0.61763	-9.4167	-0.17944	-1.1211	1.7422	24.80716	121.0242	59.70511	0.0111084	-0.0141525	59.7051	-54	6
21:04:46:42	0	-0.99664	0.00074055	0.0061545	0.081676	0.036407	0.0066986	0.0031395	-0.026975	-0.70984	-9.3698	-0.16626	0.0032806	-1.0547	24.80716	121.0242	59.70671	0.00955963	0.0146561	59.7067	-51	6.5
21:04:46:73	0	-0.99658	0.00044917	0.0066336	0.082364	0.010513	-0.0039787	-0.0093155	0.011315	-0.76182	-9.4492	0.27808	-1.1895	0.41064	24.80716	121.0242	59.75703	0.0326843	0.0117798	59.757	-53	6.25
21:04:47:05	0	-0.9966	0.0014075	0.004057	0.082252	0.042877	0.00021696	-0.0089188	-0.12251	-0.47659	-9.4356	-0.58545	0.72852	-0.80127	24.80716	121.0242	59.76703	0.0442505	0.0156555	59.767	-52	6.5
21:04:47:35	0	-0.99657	0.0017048	0.002783	0.082692	0.053894	0.020493	-0.017914	-0.16831	-0.33397	-9.4862	0.05661	-1.2129	1.2334	24.80716	121.0242	59.75313	0.0127335	-0.000159502	59.7531	-50	6.5
21:04:47:67	0	-0.99656	0.0015823	0.0034349	0.082753	0.01796	0.014366	-0.00043797	-0.14813	-0.40727	-9.4931	0.87061	1.0615	-1.2031	24.80716	121.0242	59.74393	0.0393372	0.0275726	59.7439	-51	6.25
21:04:47:98	0	-0.99656	0.0025211	0.0012043	0.082824	0.047638	0.019302	0.00086403	-0.27647	-0.16146	-9.5014	0.77197	0.63818	-0.81494	24.80716	121.0242	59.78097	0.0249634	0.00919342	59.781	-57	6.5
21:04:48:29	0	-0.99655	0.0027045	0.0024372	0.082914	-0.055756	-0.039673	-0.0013056	-0.28569	-0.30402	-9.5115	0.02092	-0.0073051	-0.053986	24.80716	121.0242	59.79305	0.0108643	0.0132141	59.793	-48	6
21:04:48:60	0	-0.99652	0.0034301	0.0012909	0.083277	0.0044708	0.037842	-0.0099258	-0.37938	-0.18015	-9.5533	0.2052	-0.54395	0.96533	24.80716	121.0242	59.79419	0.0421448	0.0096283	59.7942	-50	6.75
21:04:48:91	0	-0.99653	0.0021472	0.0027628	0.083172	0.021576	0.012337	0.013786	-0.21887	-0.33596	-9.5413	-0.54541	0.45483	-0.40039	24.80716	121.0242	59.79997	-0.000814438	0.00666046	59.8	-57	6.75
21:04:49:22	0	-0.9965	0.0012591	0.0071685	0.08323	-0.076233	-0.0058403	-0.0015411	-0.075415	-0.83062	-9.5482	0.31494	0.89307	-1.9082	24.80716	121.0242	59.8246	0.0187836	0.000213742	59.8246	-48	6
21:04:49:53	0	-0.99649	-0.00040979	0.0050485	0.083557	-0.025711	0.0289	0.0065613	0.095137	-0.57257	-9.5867	-0.5752	-1.2041	0.21643	24.80716	121.0242	59.82732	0.0621338	0.00593567	59.8273	-47	6
21:04:49:84	0	-0.99652	0.0027396	0.0020525	0.083329	-0.029312	0.04126	0.0014133	-0.29325	-0.26055	-9.5593	-0.46826	0.45874	0.12744	24.80716	121.0242	59.80685	0.0563965	0.0114212	59.8069	-49	6
21:04:50:16	0	-0.9965	0.0031377	0.0017502	0.083548	-0.0081711	-0.0020313	-0.0065269	-0.34154	-0.22989	-9.5844	-0.11157	1.2852	-1.3887	24.80716	121.0242	59.80357	0.047699	0.0139694	59.8036	-51	6.5
21:04:50:47	0	-0.9965	0.0032512	0.0011163	0.083492	-0.010155	0.0035534	-0.0040321	-0.36057	-0.15858	-9.5782	-0.32666	-1.3008	-1.1182	24.80716	121.0242	59.83028	0.0307159	-0.00662613	59.8303	-53	6.25
21:04:50:78	0	-0.99648	0.0017848	0.0040089	0.083674	-0.025482	-0.0069275	-0.0050316	-0.16537	-0.47489	-9.599	0.43921	-0.42773	0.42822	24.80716	121.0242	59.82963	0.0389404	-0.00885773	59.8296	-52	6.5
21:04:51:09	0	-0.99651	0.0017329	0.0043257	0.083343	-0.033875	-0.021149	0.0018482	-0.15657	-0.51052	-9.5609	-0.23511	-1.373	1.0723	24.80716	121.0242	59.82508	0.043457	-0.0096817	59.8251	-57	6.75
21:04:51:40	0	-0.99647	-0.00092435	0.0073256	0.083572	-0.012749	-0.019913	0.0017967	0.17572	-0.82766	-9.5893	0.38525	0.23303	-0.8125	24.80716	121.0242	59.83917	0.0237579	-0.00538635	59.8392	-49	6.25
21:04:51:71	0	-0.99642	-0.0016662	0.009406	0.083978	-0.039856	0.01046	-0.017883	0.28082	-1.058	-9.6375	0.058685	-0.6748	-0.82568	24.80716	121.0242	59.8831	0.0386047	-0.00791168	59.8831	-49	6
21:04:52:02	0	-0.99642	-0.002074	0.0096451	0.083984	0.030045	0.0085831	-0.0071869	0.32969	-1.0814	-9.6388	-0.14478	-0.18774	1.7695	24.80716	121.0242	59.90435	0.0376282	-0.0135574	59.9044	-48	6
21:04:52:33	0	-0.99638	-0.0032071	0.010621	0.084236	-0.00040293	0.032379	0.0038338	0.46881	-1.1818	-9.6696	-0.49365	0.10699	-0.42456	24.80716	121.0242	59.90457	0.0393982	-0.00529099	59.9046	-48	5.75
21:04:52:64	0	-0.99637	-0.002772	0.010816	0.084374	0.024307	-0.013702	-0.0025444	0.42117	-1.2082	-9.6851	-0.28516	-0.85254	-0.61133	24.80716	121.0242	59.89154	0.0491943	-0.0125885	59.8915	-48	6.25
21:04:52:96	0	-0.99636	-0.0029402	0.010551	0.084529	0.035309	0.031311	0.012161	0.43799	-1.1762	-9.7029	-0.2876	0.521	-0.32373	24.80716	121.0242	59.91842	0.0450134	-0.00469589	59.9184	-49	6
21:04:53:26	0	-0.99635	-0.0027186	0.010723	0.084653	-0.020782	-0.026718	0.0092697	0.4145	-1.198	-9.7171	0.58398	-0.68848	0.91846	24.80716	121.0242	59.91267	0.0553894	-0.0170441	59.9127	-51	6.5
21:04:53:58	0	-0.99635	-0.0026171	0.0095475	0.084836	0.020859	0.043945	0.017242	0.39169	-1.0647	-9.7373	-0.14282	0.82568	0.085693	24.80716	121.0242	59.92215	0.06427	0.00413132	59.9221	-52	6.25
21:04:53:89	0	-0.99634	-0.0018725	0.0096738	0.084946	-0.02153	0.0073433	-0.011421	0.308	-1.0863	-9.7492	-0.19824	0.47998	-1.9854	24.80716	121.0242	59.92448	0.0474243	-0.0164642	59.9245	-53	6.25
21:04:54:20	0	-0.99633	-0.002356	0.0095629	0.08508	0.023773	0.018707	-0.0074348	0.36228	-1.0689	-9.7651	-0.64355	-1.8438	0.41992	24.80716	121.0242	59.94996	0.0526123	-0.0187073	59.95	-61	5.75
21:04:54:51	0	-0.9963	-0.0017037	0.0091569	0.085415	0.027222	0.0059013	-0.0053635	0.28418	-1.0288	-9.8028	0.37012	-0.15002	0.35278	24.80716	121.0242	59.96046	0.071167	-0.00980377	59.9605	-54	5.75
21:04:54:82	0	-0.99631	-0.0022002	0.0090122	0.085348	0.03009	0.012398	-0.0063591	0.33939	-1.0074	-9.7954	-0.099548	-0.30273	1.75	24.80716	121.0242	59.96297	0.0597229	-0.0201263	59.963	-50	6.5
21:04:55:13	0	-0.9963	-0.0018935	0.009625	0.08541	-0.014801	0.013519	0.010551	0.31043	-1.0804	-9.8025	-0.33496	0.4165	0.031952	24.80716	121.0242	59.95687	0.0579529	-0.0135956	59.9569	-49	6.25
21:04:55:44	0	-0.99628	-0.0017436	0.0092945	0.085618	-0.0087585	-0.046997	0.015511	0.2903	-1.0441	-9.8262	0.24121	0.095642	-0.068726	24.80716	121.0242	59.99215	0.0684814	-0.0118408	59.9922	-48	5.75
21:04:55:75	0	-0.99629	-0.0015747	0.0084176	0.085634	0.033295	0.034027	0.011246	0.26242	-0.9456	-9.8275	0.14551	0.94727	-0.51318	24.80716	121.0242	60.00895	0.0715942	-0.0013752	60.009	-48	6.25
21:04:56:07	0	-0.99628	-0.0011816	0.0082832	0.085754	0.026978	-0.024704	-0.0016022	0.21632	-0.93408	-9.8408	-0.59131	-0.79639	-0.96143	24.80716	121.0242	60.01801	0.0665894	-0.0215149	60.018	-50	6.5
21:04:56:38	0	-0.99627	-0.0015871	0.0084884	0.085913	0.041138	0.030991	-0.0010538	0.2648	-0.95348	-9.8597	0.24744	0.24268	-1.0645	24.80716	121.0242	60.02419	0.0635376	-0.0115051	60.0242	-52	6.75
21:04:56:69	0	-0.99623	-0.0023541	0.0091699	0.086241	-0.028976	0.003397	-0.0053558	0.35942	-1.0236	-9.8985	0.090271	0.13342	-0.52881	24.80716	121.0242	60.05204	0.0667114	-0.0180969	60.052	-51	6.5
21:04:57:00	0	-0.99622	-0.0023068	0.0093865	0.086318	0.016495	0.011444	-0.0032845	0.35625	-1.0488	-9.9074	-0.70166	-1.1465	0.95166	24.80716	121.0242	60.05408	0.0595398	-0.0208282	60.0541	-52	5.75
21:04:57:31	0	-0.9962	-0.002228	0.010116	0.086488	-0.036957	-0.0018358	-0.013222	0.35466	-1.1328	-9.9272	-0.0045547	0.82861	-1.5576	24.80716	121.0242	60.06216	0.0672607	-0.0133896	60.0622	-53	6
21:04:57:62	0	-0.9962	-0.0022123	0.0093969	0.086578	-0.022842	0.016129	0.0033684	0.34584	-1.0508	-9.9372	0.54248	0.33081	-1.1797	24.80716	121.0242	60.07578	0.0717773	-0.0105133	60.0758	-52	6.5
21:04:57:93	0	-0.99618	-0.0018961	0.009421	0.086746	-0.025574	0.0090561	-0.011536	0.31015	-1.0567	-9.9562	-0.56641	0.52344	-1.1553	24.80716	121.0242	60.08688	0.0679321	-0.0128479	60.0869	-53	5.75
21:04:58:24	0	-0.99618	-0.0019071	0.008293	0.086905	0.018173	0.037292	-0.0014858	0.30033	-0.92773	-9.974	0.74951	0.33887	-1.1875	24.80716	121.0242	60.11498	0.0743408	-0.0139847	60.115	-53	6
21:04:58:55	0	-0.99617	-0.0021533	0.0092307	0.086881	-0.042206	0.00072956	-0.0045433	0.33776	-1.0323	-9.9719	0.13708	0.12433	-1.3076	24.80716	121.0242	60.12691	0.0640259	-0.0269318	60.1269	-51	6.75
21:04:58:86	0	-0.99614	-0.0028502	0.010141	0.08711	0.013367	-0.0070496	0.0090942	0.42667	-1.1292	-9.9996	-0.6333	-0.50244	1.1367	24.80716	121.0242	60.107	0.0566406	-0.0189819	60.107	-50	5.5
21:04:59:17	0	-0.99614	-0.0036483	0.011067	0.087008	-0.065918	-0.0001229	-0.010643	0.52693	-1.227	-9.9894	0.2854	0.15369	-0.40869	24.80716	121.0242	60.11676	0.0807495	-0.012413	60.1168	-49	5.75
21:04:59:48	0	-0.99615	-0.0025417	0.0089115	0.087167	0.00048542	0.024307	0.0052071	0.379208	-0.991915	-10.0051	0.31982	0.0019474	-0.80371	24.80716	121.0242	60.12685	0.0750732	-0.0163879	60.1269	-49	6.25
21:04:59:80	0	-0.99616	-0.00085223	0.0077111	0.087226	-0.050934	0.024765	-0.015884	0.174379	-0.871745	-10.0098	-0.40283	0.46924	-1.1279	24.80716	121.0242	60.11149	0.0633545	-0.0168457	60.1115	-49	6.25
21:05:00:10	0	-0.99615	-0.00059726	0.0065282	0.087445	-0.042603	0.01062	-0.0057983	0.133604	-0.73923	-10.0344	0.19385	-0.61572	-1.3457	24.80716	121.0242	60.11833	0.0561523	-0.0205688	60.1183	-48	6.5
21:05:00:42	0	-0.99612	-0.00077354	0.0067835	0.087721	0.0079498	-0.0028133	-0.0069237	0.1565	-0.766563	-10.0663	0.40698	-0.28638	0.17773	24.80716	121.0242	60.12511	0.0582581	-0.0223846	60.1251	-48	6.75
21:05:00:73	0	-0.99612	-0.0011094	0.0067774	0.087749	0.040039	-0.0018263	0.0070381	0.194801	-0.762481	-10.0698	-0.65674	-0.54883	1.2803	24.80716	121.0242	60.15753	0.0446167	-0.0261993	60.1575	-49	6.25
21:05:01:04	0	-0.9961	-0.0016446	0.0080094	0.087871	-0.036011	-0.0062218	-0.005825	0.268409	-0.897704	-10.0847	0.34399	0.13501	0.177	24.80716	121.0242	60.16195	0.0472717	-0.0234528	60.1619	-49	6.25
21:05:01:35	0	-0.9961	-0.0015426	0.0073982	0.087898	-0.043915	0.0049248	0.011749	0.250621	-0.828963	-10.0875	-0.080078	-0.10272	-0.66357	24.80716	121.0242	60.17023	0.055542	-0.0198059	60.1702	-48	6.25
21:05:01:66	0	-0.99609	-0.00046488	0.0069938	0.088089	0.012871	0.018311	-0.015823	0.123672	-0.793623	-10.1085	-0.16602	-1.291	0.16663	24.80716	121.0242	60.16417	0.0553894	-0.0238037	60.1642	-49	7.5
21:05:01:97	0	-0.99608	-0.0002764	0.0061343	0.088253	0.040192	0.025574	-0.014938	0.0935925	-0.697402	-10.127	-0.60107	-0.95654	1.2764	24.80716	121.0242	60.18975	0.0432739	-0.0232391	60.1898	-50	6.25
21:05:02:28	0	-0.99606	-0.0001201	0.0063664	0.088429	0.047333	-0.0087433	-0.0061874	0.0782269	-0.725465	-10.1472	0.45874	-0.60547	0.77588	24.80716	121.0242	60.18047	0.0427551	-0.028244	60.1805	-50	6.5
21:05:02:59	0	-0.99606	-0.00070058	0.0065913	0.088464	0.0055351	-0.0077896	0.0073624	0.146794	-0.745253	-10.1516	-0.12122	-0.27588	-0.13159	24.80716	121.0242	60.19398	0.04599	-0.0242004	60.194	-48	6.5
21:05:02:91	0	-0.99605	-0.00033592	0.0068497	0.08855	0.031494	-0.01194	-0.0059738	0.107856	-0.778435	-10.1613	-0.60107	0.86084	-1.166	24.80716	121.0242	60.18864	0.0433655	-0.0196991	60.1886	-47	6
21:05:03:22	0	-0.99603	-0.00028342	0.0063886	0.088808	-0.0092316	-0.0011129	0.00073195	0.0973711	-0.726307	-10.1909	0.78564	0.24255	-0.74463	24.80716	121.0242	60.21346	0.0499573	-0.013382	60.2135	-47	6.25
21:05:03:53	0	-0.99603	-0.000791	0.0073782	0.088687	-0.026352	-0.0048714	-0.008873	0.165283	-0.834113	-10.1776	0.31616	-0.34473	0.16321	24.80716	121.0242	60.20644	0.0407715	-0.0205688	60.2064	-53	6.25
21:05:03:84	0	-0.99603	-0.0011311	0.0074164	0.088755	-0.015388	-0.0074272	0.0077705	0.204547	-0.835003	-10.1858	0.085205	-0.16077	-0.71143	24.80716	121.0242	60.19796	0.0373535	-0.0214081	60.198	-53	6.25
21:05:04:15	0	-0.99601	-0.0012183	0.007408	0.088876	-0.055542	0.021881	-0.010971	0.214524	-0.833134	-10.1998	-0.2854	0.77832	-0.8916	24.80716	121.0242	60.19627	0.0509033	-0.00732422	60.1963	-52	6.5
21:05:04:46	0	-0.996	-8.98E-05	0.0047888	0.089208	-0.013237	0.041748	-0.0079575	0.0592055	-0.545657	-10.2365	0.55762	-0.20618	-1.2939	24.80716	121.0242	60.2114	0.0523071	-0.00442886	60.2114	-52	6.75
21:05:04:77	0	-0.99599	-2.01E-05	0.0048891	0.089324	-0.037964	-0.02478	0.0069046	0.0523396	-0.557801	-10.2498	0.76318	-0.71191	0.72412	24.80716	121.0242	60.21583	0.0322266	-0.0253754	60.2158	-51	6.5
21:05:05:08	0	-0.99597	-0.00037215	0.0061042	0.089528	0.0093231	-0.0029144	0.016281	0.105105	-0.692868	-10.2738	-0.41016	0.87256	0.29321	24.80716	121.0242	60.21189	0.0316772	-0.0133667	60.2119	-49	5.75
21:05:05:39	0	-0.99597	-0.00036962	0.0056334	0.089564	0.018311	0.004364	0.0093155	0.100008	-0.639155	-10.2778	-0.5332	-0.4248	1.0488	24.80716	121.0242	60.21204	0.0353699	-0.011795	60.212	-48	6
21:05:05:70	0	-0.99596	0.00045369	0.0052851	0.089653	0.037659	-0.026199	0.002512	0.00251818	-0.607857	-10.2874	-0.48267	-0.53662	-0.7627	24.80716	121.0242	60.21783	0.0328979	-0.0113449	60.2178	-50	6.25
21:05:06:01	0	-0.99594	0.00067269	0.0045698	0.089902	0.023758	0.0050201	0.012955	-0.0296953	-0.528467	-10.316	-0.33691	0.1875	0.31519	24.80716	121.0242	60.2166	0.0332947	-0.00609207	60.2166	-51	6.5
21:05:06:33	0	-0.99594	0.00041863	0.0041401	0.089899	0.017853	-0.0014772	0.011086	-0.00512684	-0.47681	-10.3157	-0.65625	-0.57861	1.0625	24.80716	121.0242	60.21783	0.0262909	-0.00318336	60.2178	-49	6
21:05:06:64	0	-0.99593	0.00030993	0.0048151	0.089972	-0.049835	0.00066519	-0.010399	0.0142738	-0.552728	-10.3242	0.4436	0.29858	0.044739	24.80716	121.0242	60.21978	0.0319214	-0.0023365	60.2198	-49	5.75
21:05:06:95	0	-0.99593	0.00045702	0.0051995	0.089996	-0.015533	0.024353	0.0066681	0.00146405	-0.598111	-10.3269	-0.45703	0.63818	-0.45679	24.80716	121.0242	60.24421	0.0257111	0.00381851	60.2442	-49	6.25
21:05:07:26	0	-0.99591	0.00098955	0.0044499	0.090183	0.001708	0.024734	-0.0031796	-0.0669473	-0.518067	-10.3481	-0.010918	0.20898	1.6143	24.80716	121.0242	60.24433	0.0361328	0.00198174	60.2443	-47	6.5
21:05:07:57	0	-0.99591	0.0012431	0.0036425	0.090259	-0.036774	0.0088043	-0.010338	-0.104192	-0.428557	-10.3567	0.34448	-0.66895	0.52783	24.80716	121.0242	60.25173	0.0396118	0.00198936	60.2517	-47	6.25
21:05:07:88	0	-0.99591	0.0023028	0.0020368	0.090282	-0.0038166	0.024048	0.012589	-0.241734	-0.256268	-10.3592	0.63916	0.9502	-0.87256	24.80716	121.0242	60.25281	0.0443726	0.0142365	60.2528	-47	6.25
21:05:08:19	0	-0.99589	0.0025795	0.0016057	0.090526	-0.020004	-0.013054	0.0056038	-0.277726	-0.209999	-10.3873	0.65527	0.28564	1.8281	24.80716	121.0242	60.26688	0.0225067	0.000136614	60.2669	-48	6.25
